"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Brasil"
"Variável - IPCA - Peso mensal (%)"
"Mês","Geral, grupo, subgrupo, item e subitem"
"Mês","1.Alimentação e bebidas","2.Habitação","3.Artigos de residência","4.Vestuário","5.Transportes","6.Saúde e cuidados pessoais","7.Despesas pessoais","8.Educação","9.Comunicação"
"janeiro 2020","19.3483","15.5945","3.7529","4.5770","20.5979","13.5334","10.7330","6.1485","5.7146"
"fevereiro 2020","19.3816","15.6461","3.7423","4.5455","20.6217","13.4612","10.7474","6.1448","5.7096"
"março 2020","19.3545","15.5470","3.7298","4.5008","20.5255","13.5247","10.7541","6.3560","5.7077"
"abril 2020","19.5588","15.5544","3.6874","4.5075","20.3299","13.5438","10.7233","6.3893","5.7055"
"maio 2020","19.9696","15.5855","3.6487","4.5263","19.8534","13.5533","10.7427","6.4098","5.7106"
"junho 2020","20.0937","15.6048","3.6841","4.5173","19.5495","13.5915","10.7785","6.4346","5.7461"
"julho 2020","20.1194","15.5709","3.7222","4.4849","19.5577","13.6048","10.7453","6.4198","5.7748"
"agosto 2020","20.0474","15.6402","3.7420","4.4449","19.6398","13.6152","10.6963","6.3903","5.7838"
"setembro 2020","20.1553","15.6597","3.7537","4.3994","19.7519","13.6502","10.6677","6.1531","5.8089"
"outubro 2020","20.4823","15.6198","3.7668","4.3868","19.7627","13.4780","10.6119","6.1103","5.7815"
"novembro 2020","20.6985","15.5426","3.7917","4.3974","19.8271","13.4007","10.5415","6.0558","5.7448"
"dezembro 2020","21.0370","15.4721","3.7903","4.3621","19.9125","13.2657","10.4488","6.0007","5.7108"
"janeiro 2021","21.1159","15.7065","3.8053","4.3285","19.9153","13.1419","10.3787","5.9514","5.6564"
"fevereiro 2021","21.2779","15.4995","3.8281","4.3145","19.9472","13.1514","10.3935","5.9442","5.6437"
"março 2021","21.1537","15.4310","3.8203","4.2933","20.2283","13.1208","10.3231","6.0399","5.5897"
"abril 2021","20.9873","15.4148","3.8109","4.2660","20.8018","12.9988","10.2321","5.9538","5.5345"
"maio 2021","21.0047","15.4010","3.8207","4.2723","20.7223","13.1140","10.2040","5.9389","5.5221"
"junho 2021","20.9230","15.5459","3.8362","4.2762","20.7895","13.1053","10.1417","5.8941","5.4881"
"julho 2021","20.9005","15.6350","3.8569","4.3047","20.7635","13.1031","10.1174","5.8659","5.4531"
"agosto 2021","20.8270","15.9679","3.8497","4.2862","20.8764","12.8966","10.0671","5.8206","5.4085"
"setembro 2021","20.9368","15.9375","3.8547","4.2929","20.9944","12.7816","10.0425","5.7851","5.3744"
"outubro 2021","20.9075","16.1584","3.8445","4.2564","21.1294","12.6843","9.9838","5.7196","5.3161"
"novembro 2021","20.8940","16.1251","3.8453","4.2804","21.4134","12.5773","9.9339","5.6514","5.2791"
"dezembro 2021","20.6914","16.1406","3.8485","4.2809","21.9210","12.3881","9.8961","5.5989","5.2345"
"janeiro 2022","20.7127","16.1423","3.8728","4.3370","21.8902","12.3893","9.8795","5.5617","5.2143"
"fevereiro 2022","20.8296","16.0803","3.9224","4.3603","21.7507","12.3664","9.9036","5.5450","5.2416"
"março 2022","20.8862","16.0047","3.9522","4.3551","21.6316","12.3015","9.8677","5.7971","5.2040"
"abril 2022","21.0515","15.9317","3.9114","4.3632","21.9253","12.2147","9.7687","5.7142","5.1191"
"maio 2022","21.2604","15.5845","3.9303","4.3723","22.1124","12.3006","9.7129","5.6581","5.0686"
"junho 2022","21.2610","15.2484","3.9376","4.4436","22.3071","12.3669","9.7192","5.6342","5.0820"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo"

"Notas"
"1 - Com a atualização das Estruturas de Ponderação, obtidas a partir da Pesquisa de Orçamentos Familiares - POF - 2017-2018, foram introduzidos aperfeiçoamentos na classificação dos produtos e serviços que compõem as estruturas dos índices de preços. Com isso, foram criadas novas tabelas, a partir de janeiro de 2020 para o IPCA e INPC e fevereiro de 2020 para o IPCA-15, contendo os dados com as estruturas atualizadas. Os dados de períodos anteriores são disponibilizados em outras tabelas."
"2 - A variação acumulada em 12 meses está disponível a partir de dezembro de 2020."
""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
